unique_id,transaction_id,unformatted_date,customer_id,product_id,product_name,category_id,category_name,parent_id,parent_name,product_count,site_id,site_name,address,city,zip,latitude,longitude,site_status,revenue,gross_profit,costs,units
1829903,20190403|1056|1|100|1469397,6/27/19,NA,18997,G91E00P,1,Fuel Premuim,78,Fuel,68,3,1056 Rockwell City,520 4Th St,Rockwell City,50579,42.3938,-94.6338,ACTIVE,20.21,1.9251,18.2849,6.417
108520,20180915|157|2|2|2341365,12/8/18,5833.94,3055,MARLB SPCL BLND BLK BX,206,Cig-off Inv-premium (441),11,Off Invoice Cigs (104),199,48,157 Sylacauga,41301 US Hwy 280,Sylacauga,35150,42.507,-92.4034,ACTIVE,7.31,1.66824,5.64176,1
769492,20190602|200|2|3|5514873,8/26/19,NA,9726,BLACK&M SWTS PLTP PP99,335,Tobacco-cigarillo (962),320,Cigars,342,64,200 Cedar Falls,221 W 6Th St,Cedar Falls,50613,42.5336,-92.4478,ACTIVE,1.98,0.39778,1.58222,2
2903164,20180919|914|1|1|3775890,12/13/18,4439.962,5628,LARGE FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,434,914 Centennial,2221 E Arapahoe Rd,Centennial,80122,39.5957,-104.963,ACTIVE,1.49,1.49,0,1
2509965,20161108|865|2|1|2537166,2/1/17,NA,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,399,865 Lane,11820 E Highway 3,Lane,74555,34.298,-95.9867,ACTIVE,10,1.6959,8.3041,5.653
1430612,20190825|562|1|2|5444231,11/18/19,NA,12614,KK AST FILL,64,Krispy Kreme (166),63,Krispy Kreme Retail (166),12,297,562 Columbia,101 S Providence Rd,Columbia,65203,38.9509,-92.3362,ACTIVE,3.27,1.14,2.13,3
1664823,20170411|890|2|2|1822566,7/5/17,NA,18949,SKU ICE BAG SML,143,Ice (282),141,Ice (277),7,420,890 Hitchcock,107 W Main St,Hitchcock,73744,35.9682,-98.3491,ACTIVE,1.99,1.095,0.895,1
191502,20180124|865|1|1|3198393,4/19/18,NA,1641,BUSCH 25OZ CAN,205,Beer-popular (43),246,Beer,74,399,865 Lane,11820 E Highway 3,Lane,74555,34.298,-95.9867,ACTIVE,2.5,0.46,2.04,2
2691511,20180328|518|3|1|4378761,6/21/18,NA,5538,MEDIUM FTN,152,Cold Bev-retail (311),233,Cold Dispensed Beverage,11,272,518 Massena,99 Main St,Massena,50853,41.2517,-94.7692,ACTIVE,1.29,1.29,0,1
2022586,20190703|966|1|100|2461335,9/26/19,NA,18973,G85E10S,1,Fuel Premuim,78,Fuel,68,470,966 Cowley,71 E Main St,Cowley,82420,44.8837,-108.468,ACTIVE,20,2.199,17.801,7.33
1614507,20180912|878|1|1|4327757,12/6/18,NA,11050,SLC PZ PEPPRNI 13IN FCS,287,Slices,277,Pizza,39,410,878 Forgan,115 S Broadway St,Forgan,73938,36.9063,-100.535,ACTIVE,1,0.767,0.233,1
2156458,20170704|152|1|100|4809136,9/27/17,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,42,152 Wilmot,202 Mccombs St,Wilmot,71676,33.0593,-91.5728,ACTIVE,18.79,3.0003,15.7897,10.001
905318,20190705|362|3|1|6258288,9/28/19,NA,10625,MEGA ITALIAN 6.3 OZ,32,Packaged Sandwich,292,Packaged Sandwiches,28,132,362 Norfork,13862 Highway 5 S,Norfork,72658,36.2088,-92.2863,ACTIVE,3.99,2.20222,1.78778,1
2521681,20170414|251|1|1|1307346,7/8/17,NA,19020,No Lead Plus,1,Fuel Premuim,78,Fuel,68,102,251 Albert City,114 Main St,Albert City,50510,42.7819,-94.9476,ACTIVE,34.5,4.5018,29.9982,15.006
2098044,20181029|388|1|100|2449913,1/22/19,NA,18980,G87E10S,1,Fuel Premuim,78,Fuel,68,158,388 Decatur,750 E Roller Ave,Decatur,72722,36.3362,-94.4536,ACTIVE,12.23,1.4397,10.7903,4.799
